,ID,Count
0,,355.6929741756833
1,,283.8616022938866
2,,240.23434703797665
3,,198.49705836009005
4,,167.0755738806452
5,,149.5601980020408
6,,160.81782501026697
7,,186.50620017109244
8,,214.7735263815286
9,,277.5343228805043
10,,393.9284518695401
11,,436.72134060939976
12,,441.3482821984069
13,,390.3381474671413
14,,417.3665658204118
15,,412.0948864690022
16,,401.57681160000277
17,,410.9318301132954
18,,421.0453636411794
19,,446.7716645527346
20,,429.33214017558896
21,,400.7361241254968
22,,402.1899445701302
23,,392.6832230539195
24,,358.3589322550237
25,,285.98917631697134
26,,242.03492997022386
27,,199.98481570949173
28,,168.32782373764564
29,,150.68116818464094
30,,162.02317234916697
31,,187.90408471560872
32,,216.38327765427223
33,,279.61447324639863
34,,396.88098907210224
35,,439.9946152337193
36,,444.6562362603522
37,,393.2637749421469
38,,420.4947742725864
39,,415.18358310289824
40,,404.5866741024654
41,,414.01180951150417
42,,424.2011450888434
43,,450.1202674637003
44,,432.5500319275253
45,,403.73968558259855
46,,405.2044025718411
47,,395.62642712914254
48,,361.0248903343641
49,,288.116750340056
50,,243.835512902471
51,,201.4725730588933
52,,169.58007359464602
53,,151.80213836724107
54,,163.22851968806694
55,,189.30196926012496
56,,217.99302892701587
57,,281.69462361229284
58,,399.83352627466434
59,,443.26788985803887
60,,447.96419032229755
61,,396.18940241715234
62,,423.622982724761
63,,418.2722797367943
64,,407.596536604928
65,,417.0917889097128
66,,427.35692653650733
67,,453.46887037466604
68,,435.76792367946166
69,,406.74324703970024
70,,408.218860573552
71,,398.56963120436546
72,,363.6908484137046
73,,290.24432436314066
74,,245.63609583471822
75,,202.96033040829496
76,,170.83232345164643
77,,152.9231085498412
78,,164.43386702696696
79,,190.69985380464126
80,,219.6027801997595
81,,283.7747739781871
82,,402.78606347722655
83,,446.5411644823585
84,,451.27214438424295
85,,399.11502989215796
86,,426.75119117693566
87,,421.3609763706904
88,,410.60639910739076
89,,420.17176830792164
90,,430.51270798417124
91,,456.81747328563176
92,,438.985815431398
93,,409.7468084968019
94,,411.23331857526284
95,,401.51283527958844
96,,366.3568064930451
97,,292.3718983862254
98,,247.43667876696543
99,,204.44808775769656
100,,172.08457330864684
101,,154.04407873244133
102,,165.63921436586696
103,,192.09773834915754
104,,221.2125314725032
105,,285.8549243440814
106,,405.73860067978876
107,,449.81443910667815
108,,454.58009844618823
109,,402.0406573671635
110,,429.87939962911037
111,,424.4496730045866
112,,413.61626160985344
113,,423.25174770613035
114,,433.66848943183527
115,,460.1660761965975
116,,442.20370718333436
117,,412.75036995390366
118,,414.2477765769738
119,,404.4560393548115
120,,369.02276457238554
121,,294.49947240931004
122,,249.23726169921258
123,,205.9358451070982
124,,173.33682316564725
125,,155.16504891504147
126,,166.84456170476693
127,,193.49562289367378
128,,222.82228274524678
129,,287.9350747099756
130,,408.69113788235086
131,,453.08771373099773
132,,457.88805250813357
133,,404.966284842169
134,,433.00760808128496
135,,427.53836963848266
136,,416.62612411231606
137,,426.33172710433917
138,,436.82427087949924
139,,463.5146791075632
140,,445.4215989352707
141,,415.7539314110053
142,,417.2622345786846
143,,407.3992434300344
144,,371.68872265172604
145,,296.62704643239476
146,,251.0378446314598
147,,207.42360245649985
148,,174.58907302264765
149,,156.2860190976416
150,,168.04990904366693
151,,194.8935074381901
152,,224.43203401799047
153,,290.01522507586986
154,,411.643675084913
155,,456.36098835531726
156,,461.19600657007896
157,,407.89191231717456
158,,436.13581653345966
159,,430.6270662723788
160,,419.63598661477874
161,,429.4117065025479
162,,439.98005232716326
163,,466.86328201852893
164,,448.63949068720706
165,,418.75749286810697
166,,420.27669258039555
167,,410.3424475052574
168,,374.3546807310665
169,,298.7546204554794
170,,252.838427563707
171,,208.91135980590147
172,,175.8413228796481
173,,157.40698928024173
174,,169.25525638256693
175,,196.29139198270636
176,,226.04178529073408
177,,292.09537544176413
178,,414.5962122874751
179,,459.6342629796369
180,,464.50396063202436
181,,410.8175397921801
182,,439.2640249856343
183,,433.7157629062749
184,,422.64584911724137
185,,432.4916859007567
186,,443.1358337748273
187,,470.21188492949466
188,,451.8573824391435
189,,421.7610543252087
190,,423.29115058210647
191,,413.2856515804804
192,,377.020638810407
193,,300.88219447856414
194,,254.63901049595418
195,,210.39911715530314
196,,177.0935727366485
197,,158.52795946284186
198,,170.4606037214669
199,,197.68927652722266
200,,227.65153656347778
201,,294.1755258076584
202,,417.54874949003727
203,,462.90753760395654
204,,467.81191469396975
205,,413.7431672671857
206,,442.39223343780895
207,,436.804459540171
208,,425.6557116197041
209,,435.5716652989654
210,,446.29161522249126
211,,473.56048784046044
212,,455.07527419107987
213,,424.76461578231044
214,,426.3056085838173
215,,416.22885565570346
216,,379.6865968897475
217,,303.00976850164886
218,,256.43959342820136
219,,211.88687450470474
220,,178.34582259364893
221,,159.64892964544202
222,,171.6659510603669
223,,199.08716107173893
224,,229.2612878362214
225,,296.25567617355273
226,,420.5012866925995
227,,466.18081222827607
228,,471.11986875591515
229,,416.66879474219127
230,,445.52044188998366
231,,439.89315617406714
232,,428.66557412216684
233,,438.6516446971742
234,,449.4473966701553
235,,476.9090907514262
236,,458.2931659430163
237,,427.76817723941224
238,,429.32006658552825
239,,419.1720597309263
240,,382.3525549690879
241,,305.1373425247335
242,,258.2401763604486
243,,213.37463185410638
244,,179.5980724506493
245,,160.76989982804213
246,,172.8712983992669
247,,200.48504561625518
248,,230.87103910896505
249,,298.33582653944694
250,,423.4538238951616
251,,469.45408685259565
252,,474.4278228178605
253,,419.5944222171968
254,,448.64865034215825
255,,442.98185280796326
256,,431.67543662462947
257,,441.7316240953829
258,,452.6031781178192
259,,480.25769366239194
260,,461.51105769495257
261,,430.7717386965138
262,,432.33452458723906
263,,422.1152638061493
264,,385.0185130484284
265,,307.2649165478182
266,,260.0407592926957
267,,214.86238920350803
268,,180.85032230764975
269,,161.8908700106423
270,,174.0766457381669
271,,201.88293016077148
272,,232.4807903817087
273,,300.4159769053412
274,,426.4063610977238
275,,472.7273614769153
276,,477.7357768798058
277,,422.5200496922023
278,,451.77685879433295
279,,446.0705494418594
280,,434.68529912709215
281,,444.81160349359175
282,,455.7589595654832
283,,483.6062965733576
284,,464.7289494468889
285,,433.77530015361555
286,,435.34898258895
287,,425.0584678813723
288,,387.6844711277689
289,,309.3924905709029
290,,261.84134222494293
291,,216.35014655290965
292,,182.10257216465018
293,,163.01184019324245
294,,175.2819930770669
295,,203.28081470528775
296,,234.09054165445235
297,,302.4961272712355
298,,429.35889830028594
299,,476.00063610123493
300,,481.0437309417513
301,,425.4456771672078
302,,454.9050672465076
303,,449.15924607575545
304,,437.6951616295548
305,,447.89158289180045
306,,458.91474101314725
307,,486.9548994843234
308,,467.9468411988253
309,,436.7788616107173
310,,438.3634405906609
311,,428.00167195659526
312,,390.3504292071093
313,,311.5200645939876
314,,263.6419251571901
315,,217.83790390231127
316,,183.35482202165056
317,,164.13281037584252
318,,176.48734041596686
319,,204.678699249804
320,,235.70029292719596
321,,304.5762776371297
322,,432.31143550284804
323,,479.2739107255545
324,,484.35168500369656
325,,428.3713046422134
326,,458.0332756986822
327,,452.2479427096515
328,,440.7050241320174
329,,450.97156229000916
330,,462.07052246081116
331,,490.3035023952891
332,,471.1647329507616
333,,439.78242306781885
334,,441.3778985923717
335,,430.94487603181824
336,,393.0163872864497
337,,313.6476386170723
338,,265.4425080894373
339,,219.32566125171292
340,,184.607071878651
341,,165.25378055844268
342,,177.69268775486685
343,,206.0765837943203
344,,237.31004419993963
345,,306.65642800302396
346,,435.26397270541014
347,,482.54718534987404
348,,487.65963906564195
349,,431.29693211721883
350,,461.16148415085684
351,,455.33663934354763
352,,443.7148866344801
353,,454.0515416882179
354,,465.22630390847513
355,,493.6521053062548
356,,474.38262470269797
357,,442.7859845249206
358,,444.3923565940827
359,,433.8880801070412
360,,395.6823453657902
361,,315.77521264015695
362,,267.2430910216845
363,,220.81341860111456
364,,185.8593217356514
365,,166.37475074104282
366,,178.89803509376685
367,,207.47446833883657
368,,238.9197954726833
369,,308.73657836891823
370,,438.2165099079723
371,,485.8204599741937
372,,490.9675931275873
373,,434.22255959222446
374,,464.28969260303154
375,,458.4253359774438
376,,446.7247491369428
377,,457.1315210864267
378,,468.38208535613916
379,,497.00070821722056
380,,477.6005164546344
381,,445.78954598202233
382,,447.40681459579355
383,,436.8312841822642
384,,398.3483034451307
385,,317.9027866632417
386,,269.0436739539317
387,,222.3011759505162
388,,187.11157159265184
389,,167.49572092364298
390,,180.10338243266682
391,,208.87235288335285
392,,240.5295467454269
393,,310.8167287348125
394,,441.1690471105345
395,,489.0937345985133
396,,494.27554718953263
397,,437.14818706722997
398,,467.41790105520624
399,,461.51403261134
400,,449.73461163940544
401,,460.2115004846355
402,,471.5378668038032
403,,500.34931112818634
404,,480.8184082065708
405,,448.7931074391241
406,,450.4212725975045
407,,439.77448825748723
408,,401.0142615244712
409,,320.0303606863264
410,,270.84425688617887
411,,223.78893329991783
412,,188.36382144965225
413,,168.6166911062431
414,,181.30872977156685
415,,210.27023742786918
416,,242.1392980181706
417,,312.8968791007068
418,,444.1215843130967
419,,492.36700922283285
420,,497.5835012514781
421,,440.0738145422356
422,,470.5461095073809
423,,464.602729245236
424,,452.7444741418682
425,,463.2914798828443
426,,474.6936482514672
427,,503.697914039152
428,,484.03629995850713
429,,451.7966688962258
430,,453.43573059921533
431,,442.71769233271016
432,,403.6802196038116
433,,322.15793470941105
434,,272.6448398184261
435,,225.27669064931945
436,,189.61607130665266
437,,169.73766128884324
438,,182.51407711046681
439,,211.6681219723854
440,,243.74904929091423
441,,314.97702946660104
442,,447.0741215156588
443,,495.64028384715243
444,,500.89145531342336
445,,442.99944201724105
446,,473.6743179595555
